bus_no,first,last,route,info
17,04:00,23:30,차고지-종점,100100124
01A,04:00,23:30,차고지-종점,100100001
01B,04:00,23:30,차고지-종점,106000004
40,04:00,23:30,차고지-종점,104000014
411,04:00,23:30,차고지-종점,104000012
100,04:00,23:30,차고지-종점,100100549
101,04:00,23:30,차고지-종점,100100006
1014,04:00,23:30,차고지-종점,100100129
1017,04:00,23:30,차고지-종점,100100130
102,04:00,23:30,차고지-종점,100100007
1020,04:00,23:30,차고지-종점,100100131
103,04:00,23:30,차고지-종점,100100008
104,04:00,23:30,차고지-종점,100100009
105,04:00,23:30,차고지-종점,100100010
107,04:00,23:30,차고지-종점,100100012
109,04:00,23:30,차고지-종점,100100014
110A고려대,04:00,23:30,차고지-종점,100100016
110B국민대,04:00,23:30,차고지-종점,100100015
111,04:00,23:30,차고지-종점,104000009
1111,04:00,23:30,차고지-종점,100100132
1112,04:00,23:30,차고지-종점,107000007
1113,04:00,23:30,차고지-종점,100100133
1114,04:00,23:30,차고지-종점,100100134
1115,04:00,23:30,차고지-종점,100100566
1116,04:00,23:30,차고지-종점,107000001
1119,04:00,23:30,차고지-종점,100100137
1120,04:00,23:30,차고지-종점,100100138
1122,04:00,23:30,차고지-종점,100100425
1124,04:00,23:30,차고지-종점,100100139
1126,04:00,23:30,차고지-종점,100100142
1127,04:00,23:30,차고지-종점,100100143
1128,04:00,23:30,차고지-종점,100100144
1129,04:00,23:30,차고지-종점,100100145
1130,04:00,23:30,차고지-종점,100100146
1131,04:00,23:30,차고지-종점,100100147
1132,04:00,23:30,차고지-종점,100100148
1133,04:00,23:30,차고지-종점,100100149
1135,04:00,23:30,차고지-종점,100100150
1136,04:00,23:30,차고지-종점,100100151
1137,04:00,23:30,차고지-종점,100100152
1138,04:00,23:30,차고지-종점,100100153
1139,04:00,23:30,차고지-종점,100100154
1140,04:00,23:30,차고지-종점,100100155
1141,04:00,23:30,차고지-종점,100100156
1142,04:00,23:30,차고지-종점,100100157
1143,04:00,23:30,차고지-종점,100100158
1144,04:00,23:30,차고지-종점,100100159
1154,04:00,23:30,차고지-종점,100100164
1162,04:00,23:30,차고지-종점,100100170
1164,04:00,23:30,차고지-종점,100100171
1165,04:00,23:30,차고지-종점,100100172
1167,04:00,23:30,차고지-종점,108000002
120,04:00,23:30,차고지-종점,100100017
121,04:00,23:30,차고지-종점,100100583
1213,04:00,23:30,차고지-종점,100100175
1218,04:00,23:30,차고지-종점,100100177
1221,04:00,23:30,차고지-종점,100100178
1222,04:00,23:30,차고지-종점,100100179
1224,04:00,23:30,차고지-종점,100100181
1226,04:00,23:30,차고지-종점,100100183
1227,04:00,23:30,차고지-종점,100100184
130,04:00,23:30,차고지-종점,100100018
140,04:00,23:30,차고지-종점,100100019
141,04:00,23:30,차고지-종점,100100020
142,04:00,23:30,차고지-종점,100100021
143,04:00,23:30,차고지-종점,100100022
144,04:00,23:30,차고지-종점,100100023
145,04:00,23:30,차고지-종점,100100024
146,04:00,23:30,차고지-종점,100100025
147,04:00,23:30,차고지-종점,100100026
148,04:00,23:30,차고지-종점,100100027
150,04:00,23:30,차고지-종점,100100029
151,04:00,23:30,차고지-종점,100100030
152,04:00,23:30,차고지-종점,100100031
160,04:00,23:30,차고지-종점,100100033
162,04:00,23:30,차고지-종점,100100034
163,04:00,23:30,차고지-종점,100100032
171,04:00,23:30,차고지-종점,100100036
1711,04:00,23:30,차고지-종점,100100185
172,04:00,23:30,차고지-종점,100100037
173,04:00,23:30,차고지-종점,110000002
201,04:00,23:30,차고지-종점,100100038
2012,04:00,23:30,차고지-종점,100100186
2013,04:00,23:30,차고지-종점,100100188
2014,04:00,23:30,차고지-종점,100100189
2015,04:00,23:30,차고지-종점,100100190
2016,04:00,23:30,차고지-종점,100100522
202,04:00,23:30,차고지-종점,100100039
2112,04:00,23:30,차고지-종점,100100191
2113,04:00,23:30,차고지-종점,100100192
2114,04:00,23:30,차고지-종점,100100193
2115,04:00,23:30,차고지-종점,100100598
2155,04:00,23:30,차고지-종점,110000009
2211,04:00,23:30,차고지-종점,100100194
2212,04:00,23:30,차고지-종점,100100166
2221,04:00,23:30,차고지-종점,100100198
2222,04:00,23:30,차고지-종점,100100199
2224,04:00,23:30,차고지-종점,100100201
